msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Chico, CA",17020,233800.0,226600.0,203100.0,217600.0,225400.0,246700.0,256500.0,268900.0,274200.0,336600.0,353650.0,370700.0
"Cincinnati, OH-KY-IN",17140,155500.0,152000.0,151800.0,152000.0,152100.0,159200.0,165200.0,165500.0,173500.0,186100.0,201900.0,217700.0
"Clarksville, TN-KY",17300,130900.0,130600.0,134100.0,139900.0,137100.0,140600.0,147600.0,159800.0,168600.0,162500.0,186300.0,210100.0
"Cleveland, TN",17420,131600.0,140600.0,129800.0,139500.0,132900.0,149000.0,146100.0,162000.0,161400.0,160700.0,186900.0,213100.0
"Cleveland-Elyria, OH",17460,146700.0,138800.0,139400.0,136100.0,137800.0,143100.0,146100.0,150400.0,158000.0,161400.0,172950.0,184500.0
"Coeur d'Alene, ID",17660,195600.0,184800.0,177500.0,170800.0,192100.0,197700.0,239600.0,263500.0,276500.0,306900.0,375900.0,444900.0
"College Station-Bryan, TX",17780,129500.0,147300.0,146100.0,137400.0,149600.0,166300.0,178000.0,173900.0,213100.0,213200.0,229100.0,245000.0
"Colorado Springs, CO",17820,214300.0,214800.0,216000.0,211100.0,225200.0,234100.0,249400.0,274100.0,290100.0,324100.0,361000.0,397900.0
"Columbia, MO",17860,155800.0,161700.0,155700.0,172900.0,170700.0,181000.0,178500.0,181900.0,192200.0,192700.0,205300.0,217900.0
"Columbia, SC",17900,137100.0,134900.0,139800.0,138900.0,140800.0,147500.0,146800.0,156600.0,156800.0,164700.0,175250.0,185800.0
"Columbus, GA-AL",17980,131300.0,134100.0,129700.0,132600.0,142000.0,138900.0,153700.0,137000.0,147200.0,145900.0,158750.0,171600.0
"Columbus, IN",18020,138600.0,139100.0,136900.0,129800.0,132400.0,136800.0,147500.0,148500.0,155700.0,174000.0,182550.0,191100.0
"Columbus, OH",18140,163500.0,159800.0,157300.0,154800.0,160800.0,166600.0,172200.0,182300.0,196700.0,212600.0,233650.0,254700.0
"Corpus Christi, TX",18580,109400.0,107700.0,108600.0,106700.0,112500.0,123900.0,129000.0,135900.0,141200.0,150100.0,159300.0,168500.0
"Corvallis, OR",18700,255900.0,266700.0,275500.0,276300.0,265800.0,275800.0,312400.0,351100.0,356600.0,389000.0,416050.0,443100.0
"Crestview-Fort Walton Beach-Destin, FL",18880,180800.0,185000.0,175400.0,181100.0,187700.0,203500.0,213100.0,214100.0,238600.0,241600.0,277950.0,314300.0
"Cumberland, MD-WV",19060,123800.0,122300.0,118200.0,117100.0,121500.0,119400.0,120100.0,128700.0,119600.0,131400.0,140450.0,149500.0
"Dallas-Fort Worth-Arlington, TX",19100,150400.0,147700.0,149600.0,152700.0,160600.0,172500.0,189100.0,214900.0,238800.0,253900.0,274400.0,294900.0
"Dalton, GA",19140,117000.0,108600.0,106000.0,107900.0,109500.0,125600.0,117900.0,126400.0,129000.0,138600.0,150350.0,162100.0
"Danville, IL",19180,74000.0,76900.0,79400.0,72000.0,76400.0,73800.0,79900.0,77900.0,85000.0,80100.0,79900.0,79700.0
"Daphne-Fairhope-Foley, AL",19300,176100.0,170300.0,165700.0,167500.0,180100.0,177800.0,189100.0,199800.0,193800.0,223100.0,239450.0,255800.0
"Davenport-Moline-Rock Island, IA-IL",19340,125400.0,122600.0,125000.0,126200.0,126800.0,128900.0,132100.0,134500.0,138500.0,141400.0,146700.0,152000.0
"Dayton-Kettering, OH",19430,,,,,,,,,,141900.0,155600.0,169300.0
"Decatur, AL",19460,120500.0,113400.0,116800.0,113600.0,112800.0,125700.0,120400.0,137100.0,132500.0,142900.0,154350.0,165800.0
"Decatur, IL",19500,91800.0,94700.0,91100.0,96100.0,95100.0,98200.0,99300.0,97000.0,102100.0,105500.0,108150.0,110800.0
"Deltona-Daytona Beach-Ormond Beach, FL",19660,151600.0,128600.0,130000.0,131500.0,141400.0,151000.0,171900.0,184300.0,199400.0,217000.0,236450.0,255900.0
