msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Harrisonburg, VA",25500,45188.0,46618.0,44971.0,46710.0,51136.0,47420.0,51369.0,54681.0,53046.0,60740.0,63652.0,66564.0
"Hartford-East Hartford-Middletown, CT",25540,63104.0,64508.0,66732.0,66356.0,68532.0,72275.0,72559.0,71414.0,77258.0,77005.0,79631.5,82258.0
"Hattiesburg, MS",25620,38538.0,37378.0,36815.0,40364.0,42028.0,41938.0,46765.0,46167.0,45249.0,48359.0,51901.5,55444.0
"Hickory-Lenoir-Morganton, NC",25860,39381.0,38923.0,37364.0,38039.0,41106.0,40380.0,42572.0,48079.0,47544.0,50631.0,51684.0,52737.0
"Hilton Head Island-Bluffton, SC",25940,52496.0,51232.0,51209.0,52269.0,52691.0,55923.0,63756.0,55430.0,63723.0,71252.0,69515.5,67779.0
"Hinesville, GA",25980,37536.0,42659.0,43368.0,40559.0,43331.0,37211.0,46241.0,49364.0,47234.0,53060.0,51396.5,49733.0
"Homosassa Springs, FL",26140,35459.0,33764.0,39322.0,40015.0,35671.0,40294.0,39206.0,43548.0,39964.0,50751.0,48974.0,47197.0
"Hot Springs, AR",26300,36482.0,34251.0,40893.0,39589.0,41032.0,37013.0,42826.0,46101.0,42779.0,45265.0,46479.5,47694.0
"Houma-Thibodaux, LA",26380,48185.0,44987.0,48866.0,54070.0,45104.0,48119.0,49929.0,47069.0,51440.0,49874.0,55676.0,61478.0
"Houston-The Woodlands-Sugar Land, TX",26420,53942.0,54901.0,55910.0,57366.0,60072.0,61465.0,61708.0,63802.0,65394.0,69193.0,70043.0,70893.0
"Huntington-Ashland, WV-KY-OH",26580,36022.0,36894.0,39160.0,43543.0,40830.0,42237.0,42420.0,40646.0,45535.0,48329.0,49392.5,50456.0
"Huntsville, AL",26620,52384.0,51734.0,54617.0,55857.0,56453.0,57792.0,58238.0,61331.0,63765.0,67157.0,72060.0,76963.0
"Idaho Falls, ID",26820,50113.0,47121.0,49200.0,50439.0,50208.0,52689.0,60133.0,54515.0,58880.0,63616.0,67087.5,70559.0
"Indianapolis-Carmel-Anderson, IN",26900,48867.0,50826.0,51808.0,51087.0,52268.0,54322.0,56750.0,59566.0,61022.0,62502.0,66363.0,70224.0
