msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Fort Collins, CO",22660,816.0,861.0,871.0,885.0,927.0,991.0,1097.0,1130.0,1254.0,1259.0,1301.0,1343.0
"Fort Smith, AR-OK",22900,437.0,434.0,444.0,459.0,480.0,465.0,495.0,466.0,507.0,535.0,543.0,551.0
"Fort Wayne, IN",23060,509.0,527.0,527.0,532.0,531.0,568.0,570.0,603.0,621.0,623.0,658.0,693.0
"Fresno, CA",23420,707.0,730.0,740.0,738.0,760.0,760.0,784.0,796.0,835.0,859.0,910.5,962.0
"Gadsden, AL",23460,402.0,399.0,398.0,422.0,452.0,469.0,437.0,463.0,492.0,471.0,499.5,528.0
"Gainesville, FL",23540,716.0,686.0,696.0,690.0,704.0,712.0,751.0,788.0,843.0,812.0,870.5,929.0
"Gainesville, GA",23580,643.0,639.0,658.0,650.0,679.0,690.0,711.0,733.0,827.0,788.0,838.0,888.0
"Gettysburg, PA",23900,635.0,628.0,616.0,673.0,671.0,685.0,697.0,695.0,795.0,741.0,746.5,752.0
"Glens Falls, NY",24020,623.0,640.0,694.0,676.0,635.0,707.0,736.0,717.0,749.0,776.0,794.5,813.0
"Goldsboro, NC",24140,438.0,463.0,442.0,545.0,503.0,521.0,563.0,535.0,561.0,631.0,621.5,612.0
"Grand Forks, ND-MN",24220,567.0,576.0,608.0,639.0,643.0,733.0,672.0,655.0,749.0,707.0,785.0,863.0
"Grand Island, NE",24260,460.0,442.0,514.0,502.0,512.0,541.0,601.0,542.0,624.0,618.0,657.5,697.0
"Grand Junction, CO",24300,712.0,711.0,666.0,749.0,717.0,774.0,807.0,798.0,762.0,868.0,849.0,830.0
"Grand Rapids-Kentwood, MI",24340,592.0,610.0,621.0,650.0,666.0,683.0,714.0,765.0,764.0,828.0,861.5,895.0
"Grants Pass, OR",24420,586.0,666.0,683.0,686.0,645.0,718.0,643.0,733.0,728.0,903.0,851.5,800.0
"Great Falls, MT",24500,515.0,506.0,531.0,558.0,553.0,634.0,628.0,624.0,707.0,696.0,696.5,697.0
"Greeley, CO",24540,638.0,703.0,730.0,708.0,791.0,840.0,858.0,887.0,949.0,1081.0,1133.5,1186.0
"Green Bay, WI",24580,559.0,563.0,584.0,603.0,603.0,610.0,640.0,650.0,700.0,683.0,705.5,728.0
"Greensboro-High Point, NC",24660,531.0,555.0,568.0,579.0,599.0,602.0,611.0,654.0,660.0,700.0,731.5,763.0
"Greenville, NC",24780,503.0,485.0,522.0,517.0,560.0,558.0,560.0,605.0,536.0,618.0,644.0,670.0
"Greenville-Anderson, SC",24860,523.0,552.0,577.0,565.0,574.0,596.0,623.0,653.0,680.0,699.0,756.5,814.0
"Guayama, PR",25020,282.0,289.0,325.0,238.0,274.0,283.0,277.0,308.0,242.0,307.0,295.5,284.0
"Gulfport-Biloxi, MS",25060,666.0,630.0,631.0,658.0,653.0,647.0,673.0,689.0,664.0,729.0,740.5,752.0
"Hagerstown-Martinsburg, MD-WV",25180,601.0,652.0,705.0,750.0,673.0,734.0,757.0,769.0,747.0,783.0,814.0,845.0
"Hammond, LA",25220,566.0,567.0,578.0,585.0,590.0,632.0,616.0,647.0,684.0,697.0,711.0,725.0
"Hanford-Corcoran, CA",25260,692.0,769.0,691.0,694.0,712.0,776.0,754.0,735.0,851.0,763.0,845.0,927.0
"Harrisburg-Carlisle, PA",25420,659.0,674.0,678.0,708.0,689.0,726.0,768.0,776.0,785.0,813.0,856.0,899.0
"Harrisonburg, VA",25500,643.0,626.0,683.0,706.0,711.0,645.0,685.0,726.0,758.0,836.0,813.5,791.0
"Hartford-East Hartford-Middletown, CT",25540,786.0,822.0,816.0,843.0,867.0,879.0,903.0,917.0,940.0,964.0,1018.5,1073.0
"Hattiesburg, MS",25620,532.0,554.0,546.0,566.0,589.0,567.0,586.0,636.0,639.0,641.0,686.5,732.0
"Hickory-Lenoir-Morganton, NC",25860,476.0,478.0,457.0,486.0,494.0,468.0,492.0,518.0,521.0,523.0,538.5,554.0
"Hilton Head Island-Bluffton, SC",25940,791.0,820.0,801.0,856.0,868.0,883.0,943.0,922.0,1059.0,1068.0,1111.5,1155.0
