msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"College Station-Bryan, TX",17780,94350.0,95955.0,96277.0,99988.0,100093.0,102323.0,104701.0,107734.0,110533.0,113390.0,114942.0,116494.0
"Colorado Springs, CO",17820,264602.0,267308.0,269696.0,271918.0,275214.0,281288.0,285536.0,284800.0,288688.0,293652.0,301678.0,309704.0
"Columbia, MO",17860,73649.0,74359.0,75355.0,71896.0,73173.0,74446.0,75723.0,77404.0,78945.0,91533.0,92344.5,93156.0
"Columbia, SC",17900,331865.0,336009.0,337225.0,338671.0,341066.0,346611.0,348847.0,355633.0,359090.0,363035.0,367577.5,372120.0
"Columbus, GA-AL",17980,127486.0,127592.0,129620.0,130543.0,132216.0,131629.0,133098.0,134107.0,135253.0,141612.0,143163.5,144715.0
"Columbus, IN",18020,33105.0,33320.0,33239.0,33278.0,33547.0,33735.0,33880.0,34350.0,34532.0,34678.0,35092.5,35507.0
"Columbus, OH",18140,793030.0,796946.0,798744.0,831380.0,840063.0,845563.0,851499.0,861794.0,869414.0,877436.0,896276.5,915117.0
"Corpus Christi, TX",18580,183364.0,183640.0,185252.0,185471.0,187486.0,190036.0,192737.0,194381.0,193862.0,179677.0,181224.0,182771.0
"Corvallis, OR",18700,36258.0,36397.0,36663.0,36832.0,37115.0,37695.0,37792.0,38286.0,38442.0,39107.0,39871.5,40636.0
"Crestview-Fort Walton Beach-Destin, FL",18880,92476.0,92391.0,93399.0,140491.0,142870.0,144261.0,146008.0,149089.0,151347.0,153439.0,157139.0,160839.0
"Cumberland, MD-WV",19060,46374.0,46435.0,46371.0,46194.0,46324.0,46250.0,46223.0,46070.0,45984.0,45883.0,45603.5,45324.0
"Dallas-Fort Worth-Arlington, TX",19100,2507538.0,2532937.0,2546579.0,2602737.0,2645453.0,2685922.0,2740964.0,2794066.0,2853246.0,2878819.0,2949547.5,3020276.0
"Dalton, GA",19140,55876.0,56376.0,55656.0,55215.0,55420.0,55375.0,55339.0,56030.0,56306.0,56624.0,56029.5,55435.0
"Danville, IL",19180,36304.0,36183.0,36152.0,35946.0,36010.0,35941.0,35893.0,36084.0,36125.0,36101.0,35226.0,34351.0
"Daphne-Fairhope-Foley, AL",19300,104249.0,104704.0,105267.0,105786.0,107384.0,108580.0,110607.0,114158.0,116632.0,119425.0,123979.0,128533.0
"Davenport-Moline-Rock Island, IA-IL",19340,167257.0,167219.0,167695.0,167406.0,167892.0,168737.0,169136.0,169990.0,170244.0,170674.0,172550.5,174427.0
"Dayton-Kettering, OH",19430,,,,,,,,,,370810.0,370888.0,370966.0
"Decatur, AL",19460,66441.0,66484.0,66539.0,66307.0,66672.0,66748.0,66849.0,67503.0,67766.0,67771.0,68308.5,68846.0
"Decatur, IL",19500,50471.0,50197.0,50403.0,50248.0,50355.0,50307.0,50238.0,50433.0,50405.0,50316.0,50001.5,49687.0
"Deltona-Daytona Beach-Ormond Beach, FL",19660,254277.0,254988.0,254784.0,303228.0,305678.0,307028.0,308513.0,312055.0,314641.0,317977.0,326536.0,335095.0
"Denver-Aurora-Lakewood, CO",19740,1079346.0,1084397.0,1086263.0,1097911.0,1114105.0,1132728.0,1149070.0,1173413.0,1195543.0,1216335.0,1240684.0,1265033.0
"Des Moines-West Des Moines, IA",19780,240540.0,241711.0,245326.0,248816.0,254484.0,258084.0,263342.0,270285.0,276147.0,296946.0,302638.0,308330.0
"Detroit-Warren-Dearborn, MI",19820,1885948.0,1881683.0,1882885.0,1887929.0,1890983.0,1895784.0,1899341.0,1906028.0,1912856.0,1916951.0,1912365.5,1907780.0
"Dothan, AL",20020,66966.0,67425.0,67343.0,67446.0,68053.0,68310.0,68499.0,69364.0,69836.0,70345.0,70877.0,71409.0
"Dover, DE",20100,65484.0,66247.0,66555.0,66850.0,67862.0,68693.0,69742.0,71619.0,73086.0,74455.0,74774.0,75093.0
"Dubuque, IA",20220,39028.0,39274.0,39773.0,39988.0,40349.0,40589.0,40876.0,41331.0,41514.0,41755.0,42316.5,42878.0
"Duluth, MN-WI",20260,142401.0,142648.0,141593.0,141342.0,141916.0,142158.0,142604.0,143903.0,144323.0,152781.0,151859.5,150938.0
"Durham-Chapel Hill, NC",20500,223315.0,225885.0,226261.0,228582.0,233471.0,235649.0,239799.0,244313.0,249694.0,279480.0,284166.5,288853.0
"East Stroudsburg, PA",20700,80388.0,80605.0,80565.0,80491.0,80699.0,80718.0,80759.0,81471.0,81664.0,81828.0,80573.5,79319.0
"Eau Claire, WI",20740,69388.0,69742.0,69748.0,70039.0,70716.0,71011.0,71510.0,72574.0,73016.0,73617.0,74167.0,74717.0
"El Centro, CA",20940,56090.0,56291.0,56117.0,56492.0,56963.0,57229.0,57386.0,57742.0,57893.0,58285.0,57693.0,57101.0
"Elizabethtown-Fort Knox, KY",21060,49885.0,49841.0,51480.0,63573.0,63379.0,63708.0,64805.0,64668.0,65323.0,65167.0,64715.5,64264.0
"Elkhart-Goshen, IN",21140,77775.0,77688.0,77735.0,77550.0,77937.0,78023.0,78179.0,79000.0,79495.0,79764.0,79934.5,80105.0
