msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Columbia, SC",9.784084142983138,478.1818181818182,4.5764129929849585e-07,0.0012354894214141497,37.099096261107405,1033.529827056965,1.5198827082083066e-06,0.00560928462277536,0.07803433782492053,0.4619619166192079,0.4747120083595407,0.4747120083595407,0.1384841816053638,0.5889393302640992,0.6262250983507869,0.6262250983507869,1.1009371067103275,4319.0,0.0057,433800.0,1493.6250179330352,248386.99636799356,0.006013297957515378
"Richmond, VA",15.311589675644983,769.0909090909091,2.333865989748203e-07,0.0011953882517595931,53.237988713653706,1519.9934195141784,1.0021502477594675e-06,0.005568527808564848,0.09865550141540155,0.4041435325790113,0.46768423300268086,0.46768423300268086,0.1996413003152145,0.5159851074288052,0.6215125745899535,0.6215125745899535,1.0891968075926344,3430.0,0.0082,724100.0,1630.087015609046,367065.2336323767,0.004440864637269383
"Worcester, MA",1.7790189612147387,161.8181818181818,2.4501126113062017e-07,0.0007227891157425645,67.22636796079787,1989.1384387236258,1.1804680179655158e-06,0.0060667934038137255,0.04817027750145371,0.4071406567413654,0.38486069966476155,0.38486069966476155,0.25264921103098564,0.5411120510471884,0.6791247433107009,0.6791247433107009,1.0639854429754625,2746.0,0.0123,293600.0,1986.5728562526451,452231.1737325387,0.004392825996174151
"Boston, MA",29.353154708564766,1525.4545454545455,-2.8686553220297534e-08,0.000978281379876615,98.02035144438699,2989.5743844186472,4.4716756261289774e-07,0.005583150883010673,0.1510396026884361,0.33657462036280444,0.4296360080464607,0.4296360080464607,0.3693406946004117,0.4377819164470924,0.6232033737144005,0.6232033737144005,1.0528393817608612,2746.0,0.0123,1931100.0,3079.325954400825,721178.6944309538,0.004269851533579438
"Winston, NC",4.4789359712029935,173.63636363636363,-5.366338038449237e-08,0.0007326777700122103,42.25453988972331,1149.2647181763841,1.5768043807366668e-06,0.005951515586140298,0.05824271072014629,0.33013497926274865,0.3865936975146342,0.3865936975146342,0.1580203473567789,0.5969602227115063,0.6657956972258638,0.6657956972258638,1.052389394740498,4375.0,0.0084,276900.0,1549.40203071782,264856.805241012,0.005849961186792649
"Memphis, TN",7.262282621771027,282.72727272727275,-3.6587587936124497e-07,0.0004932433445883515,42.12111016318716,1073.1014242977278,4.789085129866309e-07,0.006285560494367538,0.06862639035126211,0.24963890875928652,0.344632543536511,0.344632543536511,0.1575147254468995,0.44225456698277993,0.7044197800375251,0.7044197800375251,1.049052323574036,4873.0,0.0071,653700.0,1436.9475415330808,237995.58104964963,0.006037706814536657
"Los Angeles, CA",68.42351094447231,4737.272727272727,-1.2688678164766976e-07,0.0009310469166174224,152.9067917321645,4168.908508861298,6.394993472355525e-07,0.005574771738499909,0.2967972510016411,0.3112561832827616,0.421358114913991,0.421358114913991,0.577328730589284,0.46488358950330105,0.6222345316111272,0.6222345316111272,1.0435926465251182,2598.0,0.0076,6273400.0,2924.553381752241,1010073.0992598324,0.002895387852518113
"San Francisco, CA",44.32871293960535,2344.5454545454545,-5.817203267245849e-07,0.0011301917031955528,176.4481777785562,4941.1626640528975,-2.494804729091523e-06,0.005173582249400724,0.20690810147442454,0.1939888950356721,0.4562584640962466,0.4562584640962466,0.6665370418328755,0.023225521898843204,0.5758468284356193,0.5758468284356193,1.032105292531866,2598.0,0.0076,2472300.0,3023.5909346900467,1265181.2847778692,0.0023898479775733526
"Greensboro, NC",1.6896543490326397,132.72727272727272,7.460871439957219e-08,0.00046701188277990373,41.77425052437682,1140.3139590801022,1.1468882009164002e-06,0.006169037497854378,0.04783688981398458,0.3632066840125757,0.34003545017340325,0.34003545017340325,0.15620032694224667,0.5363802838838049,0.6909467596263725,0.6909467596263725,1.0309822097997758,4375.0,0.0084,365600.0,1454.0073377924534,256174.5759628245,0.005675845592122521
"Oxnard, CA",3.9634160382469665,222.72727272727272,2.4086788891848174e-07,0.0008613518615628838,115.35818380281727,3357.8477367128817,2.6695768652930006e-07,0.004859655355738936,0.05631948860687584,0.40607239335407797,0.4091439776549891,0.4091439776549891,0.4350411058791744,0.4123883542093183,0.5395488995075958,0.5395488995075958,0.9486928771625849,2598.0,0.0076,318700.0,3019.2431142585933,898423.0705033406,0.003360602831099457
"Minneapolis, MN",11.684490104610505,1175.4545454545455,4.09756519867174e-09,0.0007267618665185206,52.59132409701389,1410.6667033641202,-8.804468526839386e-07,0.004769209019450339,0.08512407875624647,0.34502717340375016,0.3855569287334575,0.3855569287334575,0.19719081340345235,0.2507063797713601,0.5290910038870295,0.5290910038870295,0.9146479326204869,4308.0,0.0112,1993500.0,1655.4321563696042,382267.44623823854,0.004330560116118017
"Springfield, MA",-1.971366911565493,51.81818181818182,-7.413029932774063e-08,0.000347417700666503,44.67274197661239,1293.1587767690535,1.422286207250182e-06,0.0049029666254747336,0.03417891735662048,0.3248581035590407,0.31907643443594425,0.31907643443594425,0.16718394222719088,0.5751869051743697,0.5445567832614043,0.5445567832614043,0.8636332176973486,2746.0,0.0123,331500.0,1861.018664857386,343195.36369579803,0.005422621811718174
"Virginia Beach, VA",8.235264690115919,520.9090909090909,3.742592153714323e-07,0.0007383559200644697,40.59871353079239,1171.7103589455207,1.6711700969032833e-06,0.004174354146307407,0.07225624151710665,0.44046396208978883,0.38758879973617966,0.38758879973617966,0.1517457179487329,0.6102573945350833,0.46031065934256715,0.46031065934256715,0.8478994590787468,3430.0,0.0082,820400.0,1696.5153931302723,351779.2192959188,0.004822670868750645
"Jackson, MS",0.11079959700991963,122.72727272727273,3.9449573741372804e-07,0.0005244194786048862,23.934665541483096,658.0013228608547,-5.8049351025851355e-08,0.004294074925458333,0.04194674245281311,0.4456814357988821,0.35009619629903505,0.35009619629903505,0.0885985618433556,0.3665912724109668,0.47415342471427085,0.47415342471427085,0.8242496210133059,4700.0,0.0081,286500.0,1330.664573425718,193253.42843241023,0.006885593617766598
"Urban Honolulu, HI",-11.13303007185007,-1.8181818181818181,7.457282409689481e-07,0.0002246094544875646,132.2350229844503,3516.0018443075323,-1.7735765660318231e-07,0.004081049584972299,0.0,0.5362378243545937,0.29755415033425214,0.29755415033425214,0.49899461819812824,0.3497794142098331,0.44952228025055174,0.44952228025055174,0.7470764305848039,1154.0,0.0028,463200.0,2696.7146143172727,1078145.286280673,0.0025012534475944816
