msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,trend_coef_Price,average_value_Price,pct_coef_Price,average_pct_Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,normalized_trend_coef_Price,normalized_pct_coef_Price,normalized_average_pct_Price,Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Detroit, MI",9.116276225290369,979.0909090909091,1.0121617824898373e-07,0.0009382215599264645,0.1698798258909809,4.939333155203947,7.748792066058433e-07,0.004465726191713749,39.20525001256339,1143.7968190309143,-7.68300512788845e-07,0.00635699402435663,0.07554298322809763,0.4237587304887927,0.3122833456867655,0.624566691373531,0.2730141858649371,0.5043260186809817,0.4104327583832688,0.2052163791916344,0.13359512471262802,0.26205453590922817,0.6864433477086102,0.6864433477086102,1.5162264182737757,3564.0,0.0154,2034200.0,1403.2156452517402,252394.86522524885,0.005559604566437774
"Portland, OR",28.887317399634387,1185.4545454545455,-5.544777757029499e-07,0.0011180787394517596,0.19349449697711768,5.945596561001033,-8.631102026280488e-07,0.004092695515372106,83.25278140924253,2368.253132215833,-2.1647831529929143e-06,0.005857292153573078,0.1493017288324552,0.12469263791847401,0.3529325485318332,0.7058650970636664,0.3222294687928479,0.15304270960340052,0.3606848234301266,0.1803424117150633,0.32064666097415734,0.06701824676692715,0.6191923729201326,0.6191923729201326,1.5053998816988623,3016.0,0.0097,1231700.0,1809.646129511547,553844.7627059835,0.0032674248297843416
"San Jose, CA",26.144549478123526,1202.7272727272727,-5.142721535373114e-07,0.0011842021915166316,0.17121313738417204,6.868938039594534,-4.2547500038574504e-07,0.002398575327807264,243.22921425896308,7235.382750879949,-1.1608678880295593e-06,0.006206372749793997,0.13906943405391659,0.1430306723748929,0.36787699291206477,0.7357539858241295,0.2757929373507861,0.246897981893846,0.13475439400723038,0.06737719700361519,1.0,0.2072275857553089,0.6661724059121813,0.6661724059121813,1.4693035887399262,2598.0,0.0076,1162200.0,3277.120039914307,1633092.063824156,0.0020066964456617264
"Worcester, MA",1.7790189612147387,161.8181818181818,2.4501126113062017e-07,0.0007227891157425645,0.2705658659814483,8.32321295343364,1.1811420080222466e-06,0.005639816869008626,66.24337365302232,1968.603284053336,1.1884018045319527e-06,0.006100320784191649,0.04817027750145371,0.4893445625817155,0.2635938402349775,0.527187680469955,0.4828537356883677,0.5914531639678556,0.5670112661241772,0.2835056330620886,0.24841478438959042,0.5353325187065094,0.651899699560675,0.651899699560675,1.4625930130927185,2746.0,0.0123,293600.0,1986.5728562526451,446998.24529518303,0.004444252023720534
"Winston, NC",4.4789359712029935,173.63636363636363,-5.366338038449237e-08,0.0007326777700122103,0.2116956926165401,5.861288361427374,1.4795773122608585e-06,0.004912622832954369,42.46923453707757,1162.0535484924724,1.5737754095785054e-06,0.005996611653493399,0.05824271072014629,0.35311720003032404,0.2658287574861682,0.5316575149723364,0.3601625397110495,0.65545561760249,0.47003157008757646,0.23501578504378823,0.14745590874036274,0.5891547687637583,0.637942297073895,0.637942297073895,1.4046155970900196,4375.0,0.0084,276900.0,1549.40203071782,267084.02042774257,0.005801178326716848
"Los Angeles, CA",68.42351094447231,4737.272727272727,-1.2688678164766976e-07,0.0009310469166174224,0.32014972192422575,9.834449089508588,-1.554022183314099e-07,0.00421436942608705,143.66761345291445,3914.137911183568,4.770008036865982e-07,0.005485119633975446,0.2967972510016411,0.3197195510684849,0.3106618172497023,0.6213236344994046,0.5861913384006561,0.3048178072828319,0.37691144011244415,0.18845572005622208,0.5772033121285758,0.4359764599181801,0.5691045781852876,0.5691045781852876,1.3788839327409144,2598.0,0.0076,6273400.0,2924.553381752241,961667.108975696,0.003041128634281026
"Boston, MA",29.353154708564766,1525.4545454545455,-2.8686553220297534e-08,0.000978281379876615,0.2585026445167288,9.674183842854525,1.207829895776106e-06,0.0038440490520340598,91.72166657425497,2828.351438935167,2.1899368171145364e-07,0.005461847428170459,0.1510396026884361,0.36450928632268526,0.3213371946984562,0.6426743893969123,0.4577128029502974,0.597176650010938,0.327524955170013,0.1637624775850065,0.35661049209722184,0.3999425342583783,0.5659725536375121,0.5659725536375121,1.372409420619431,2746.0,0.0123,1931100.0,3079.325954400825,694704.9146308989,0.004432566820168374
"Greensboro, NC",1.6896543490326397,132.72727272727272,7.460871439957219e-08,0.00046701188277990373,0.19599785290737132,5.611116945887364,1.6835328449961554e-06,0.005043296912847071,41.360487925327234,1134.0720960299552,1.1345831140338138e-06,0.006199442083202779,0.04783688981398458,0.4116229006573759,0.20578608047086383,0.41157216094172766,0.32744670725987124,0.6991959336509593,0.4874584629380992,0.2437292314690496,0.14274752326502368,0.5278160645959727,0.6652396615871252,0.6652396615871252,1.3205410539979026,4375.0,0.0084,365600.0,1454.0073377924534,254586.66829171128,0.005711246969642645
"Oxnard, CA",3.9634160382469665,222.72727272727272,2.4086788891848174e-07,0.0008613518615628838,0.3560525515664888,10.596739550356485,4.893650901063553e-07,0.0044526939219246475,112.90809360932845,3317.9023343258496,2.699430203489875e-07,0.004970370076154804,0.05631948860687584,0.48745474473288486,0.29491016119856495,0.5898203223971299,0.6610163449532087,0.4430946437606688,0.40869475518171383,0.20434737759085692,0.4465804313683718,0.40705824744810115,0.49982845264048115,0.49982845264048115,1.293996152628468,2598.0,0.0076,318700.0,3019.2431142585933,874665.586467303,0.003451882823529218
"Memphis, TN",7.262282621771027,282.72727272727275,-3.6587587936124497e-07,0.0004932433445883515,0.18380825088048755,4.864935992248396,1.545276780583681e-06,0.0042421951388838695,42.369340951471266,1082.89983581829,4.5617100442521565e-07,0.006260791222987868,0.06862639035126211,0.21071513644894052,0.21171460673146983,0.42342921346293966,0.3020423850762815,0.6695455296049573,0.38062231923857043,0.19031115961928521,0.1470317022511941,0.43306731759549044,0.6734961635019817,0.6734961635019817,1.2872365365842064,4873.0,0.0071,653700.0,1436.9475415330808,241485.33184344272,0.005950454756666826
"San Francisco, CA",44.32871293960535,2344.5454545454545,-5.817203267245849e-07,0.0011301917031955528,0.1622424200411954,6.51792238792078,-1.237323269391845e-06,0.0024750589780307398,155.15032292268998,4476.081137216995,-2.4983564168743747e-06,0.004943866585273385,0.20690810147442454,0.1122671408758626,0.3556701780308389,0.7113403560616778,0.2570970855012934,0.07278895237407924,0.14495436923074687,0.07247718461537343,0.625965600925724,0.02043056305965352,0.49626155465333116,0.49626155465333116,1.2800790953303824,2598.0,0.0076,2472300.0,3023.5909346900467,1187716.3937638835,0.0025457179429074486
"Minneapolis, MN",11.684490104610505,1175.4545454545455,4.09756519867174e-09,0.0007267618665185206,0.14604207143411285,4.451704234951155,-2.7484427747807947e-07,0.0031954948422746126,51.31239342880062,1383.3054180615086,-9.437573296095181e-07,0.004773039511113406,0.08512407875624647,0.3794623267386146,0.26449171460713755,0.5289834292142751,0.22333397538554758,0.2792022559590254,0.24103278525755764,0.12051639262877882,0.1850091246335537,0.23754979415860833,0.47327127198837315,0.47327127198837315,1.122771093831427,4308.0,0.0112,1993500.0,1655.4321563696042,375419.2048180222,0.004409556397553091
"Virginia Beach, VA",8.235264690115919,520.9090909090909,3.742592153714323e-07,0.0007383559200644697,0.19092679690193828,5.392820376909092,1.978632020321496e-06,0.003926875873939965,40.156067121677445,1162.3983432868338,1.7091518139649233e-06,0.004184802253689695,0.07225624151710665,0.5482953587794497,0.2671120661306617,0.5342241322613234,0.3168781308380221,0.7624829208744212,0.33857086535884884,0.16928543267942442,0.1376328493097649,0.6080617789827296,0.39410501050006946,0.39410501050006946,1.0976145754408173,3430.0,0.0082,820400.0,1696.5153931302723,348956.2635334528,0.004861684888391852
"Springfield, MA",-1.971366911565493,51.81818181818182,-7.413029932774063e-08,0.000347417700666503,0.22062946691803814,6.894069462787922,1.8676294882945048e-06,0.004773989003485129,44.88909086141789,1303.7934559275252,1.4551318369333921e-06,0.004956979656295976,0.03417891735662048,0.34378211094124667,0.1787568110213566,0.3575136220427132,0.3787813986508398,0.738677311053861,0.451543152999797,0.2257715764998985,0.15773203157057797,0.5725847080461351,0.49802634053927747,0.49802634053927747,1.0813115390818893,2746.0,0.0123,331500.0,1861.018664857386,343930.74180701823,0.005411027391967234
"Urban Honolulu, HI",-11.13303007185007,-1.8181818181818181,7.457282409689481e-07,0.0002246094544875646,0.1980196608291812,6.314621541179111,8.85109742235856e-07,0.002717969668157963,104.26123567512708,2860.7921410062763,-3.525246518288251e-07,0.004070657746781872,0.0,0.7177246928868931,0.15100113664043707,0.30200227328087415,0.3316603526049542,0.527966066106939,0.1773493061039934,0.0886746530519967,0.4098608239546973,0.3201228417384633,0.37874319217374536,0.37874319217374536,0.7694201185066163,1154.0,0.0028,463200.0,2696.7146143172727,879674.9918302622,0.003065580628484682
