msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Logan, UT",4.760450714915713,135.45454545454547,-2.0481840844099754e-07,0.0021287837518457987,0.059292942429355774,0.35778388060043137,0.6312628505396968,0.6312628505396968,0.6312628505396968,2876.0,0.0063,72500.0,1587.0256410256409,444134.7140729094,0.0035732978998014417
"Charlotte, NC",72.83060444302997,2461.818181818182,-2.0014954351989867e-07,0.002097838119886929,0.3132385544893173,0.3588744939968322,0.625839593523594,0.625839593523594,0.625839593523594,4375.0,0.0084,1363200.0,1771.2063150325885,384642.9025484119,0.004604806960683906
"Colorado Springs, CO",17.64714347707291,591.8181818181819,2.8627022969830883e-08,0.0020732344900205057,0.10736862467308596,0.4123150609039506,0.6215277795502353,0.6215277795502353,0.6215277795502353,5542.0,0.0051,331200.0,1832.3568612111148,465016.8088458758,0.003940409951543123
"Fort Collins, CO",8.532382559162992,333.6363636363636,5.2270748027715895e-09,0.0020705879985069633,0.07336468295548622,0.406849000656469,0.6210639789179537,0.6210639789179537,0.6210639789179537,5542.0,0.0051,189400.0,1867.8867104646176,573879.4316042784,0.0032548417099441
"Spartanburg, SC",8.822810581122605,310.0,-5.162569470686479e-07,0.0020535248976632212,0.07444816694599521,0.28503406921739666,0.6180736511880084,0.6180736511880084,0.6180736511880084,4319.0,0.0057,174300.0,1395.4544046739168,263512.7629191315,0.005295585645322853
"Ocala, FL",6.967159203157707,215.45454545454547,1.3842585261138628e-07,0.002044653087485863,0.06752538950039973,0.4379632808760177,0.616518856415879,0.616518856415879,0.616518856415879,5854.0,0.0089,120900.0,1553.8851471387998,280719.2014823188,0.005535371784094619
"Salt Lake City, UT",45.77566626435933,1469.090909090909,-1.4581137507988475e-07,0.002024234051573029,0.21230617137073332,0.3715675008492591,0.6129403972677991,0.6129403972677991,0.6129403972677991,2876.0,0.0063,826800.0,1693.4366801437557,561815.4032773963,0.0030142225903116104
"Deltona, FL",10.069291811395034,383.6363636363636,9.457208498128813e-09,0.002001177977097909,0.07909834652700665,0.40783712958174045,0.6088997941278416,0.6088997941278416,0.6088997941278416,5854.0,0.0089,226800.0,1902.259504707179,344253.99189267744,0.005525744216497615
"Fresno, CA",18.35137154009765,678.1818181818181,-5.7646051159406974e-08,0.0019911669090443263,0.10999584992086375,0.39216228887389526,0.6071453431238215,0.6071453431238215,0.6071453431238215,2598.0,0.0076,393600.0,1933.58343079922,399664.8795423658,0.004838011868876895
"Olympia, WA",6.010674081278214,228.1818181818182,3.7316134747140695e-08,0.001987472427683851,0.06395708259349737,0.41434477516369145,0.6064978810850534,0.6064978810850534,0.6064978810850534,2801.0,0.0098,132300.0,2054.616097865046,515240.5408228469,0.003987683295619156
"Visalia, CA",7.128778382509112,247.27272727272728,2.476322798565651e-07,0.0019831983879185864,0.0681283333630646,0.4634731198924422,0.6057488507800693,0.6057488507800693,0.6057488507800693,2598.0,0.0076,143700.0,1791.2614476237666,343421.48612210964,0.005215927133303627
"Pensacola, FL",10.012627982658385,344.54545454545456,-1.4646625235326607e-07,0.0019474403919347819,0.07888695386984204,0.3714145262099371,0.599482221523356,0.599482221523356,0.599482221523356,5854.0,0.0089,203300.0,1738.9441521789347,299274.29479142936,0.005810536295443757
"Savannah, GA",9.603732765363551,325.45454545454544,1.448440441966754e-07,0.0019129318911733206,0.07736151077125475,0.4394625244484653,0.5934345677181752,0.5934345677181752,0.5934345677181752,4006.0,0.0092,206500.0,1802.976711117876,335372.9476817465,0.005376035018867467
"Sebastian, FL",2.8168938840933135,95.45454545454545,1.2871126859868016e-08,0.001912250575038845,0.052042220902445736,0.40863459645269357,0.5933151662946919,0.5933151662946919,0.5933151662946919,5854.0,0.0089,59000.0,2263.7619047619046,388907.4234202571,0.005820824619013923
"Ocean City, NJ",0.5070843467253741,62.72727272727273,2.2990406091215486e-06,0.0018783696456815748,0.04342514036738923,0.9426674086957353,0.5873774950881994,0.5873774950881994,0.5873774950881994,2619.0,0.0249,48800.0,,669491.0920828638,
"McAllen, TX",15.775563269041257,490.90909090909093,3.009821825061216e-07,0.0018739740998295986,0.10038642240942912,0.4759352749364549,0.5866071707040339,0.5866071707040339,0.5866071707040339,5602.0,0.018,299500.0,1164.0576939203354,185186.56635688304,0.006285864665134602
"Merced, CA",3.1018583799292805,123.63636363636364,8.265950275066516e-08,0.0018675090844481148,0.053105322413858,0.42493666107563954,0.5854741694431953,0.5854741694431953,0.5854741694431953,2598.0,0.0076,75900.0,1923.2068376068376,411480.7148195365,0.004673868709619357
