msa_name,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Lake Havasu City, AZ",72.67682722378073,1808.8866249041457,-7.259609024948821e-07,0.007324834967491897,0.26694836238707975,0.33681839477441583,0.7346825687194524,0.7346825687194524,0.7346825687194524,4086.0,0.0066,56200.0,1608.2857142857144,362617.84780540015,0.004435208371621039
"Waco, TX",48.56572238642444,1275.0149927964621,-7.568104961510722e-08,0.007323100761800964,0.19089592839609196,0.40321588394166963,0.7345533697273412,0.7345533697273412,0.7345533697273412,5602.0,0.018,138000.0,1448.6395304395303,255370.7918754268,0.005672690756060292
"Kennewick, WA",81.29362943727303,2142.7517495906513,-1.1231222595046384e-06,0.007310212502926041,0.29412790417811757,0.2962658283940723,0.7335931894757055,0.7335931894757055,0.7335931894757055,2801.0,0.0098,128000.0,1699.7338217338215,429438.81850201,0.0039580348783161195
"Fort Morgan, CO",66.06388285344377,1685.8312556550916,-1.947663575634541e-06,0.007303262859011704,0.24608948766509206,0.21207519437206113,0.733075438326601,0.733075438326601,0.733075438326601,5542.0,0.0051,,,338108.2044338912,
"Orlando, FL",72.71912712852382,2056.491427947149,4.786171826468216e-07,0.007302475912748344,0.26708178682926104,0.4598130716125657,0.7330168105267942,0.7330168105267942,0.7330168105267942,5854.0,0.0089,1482300.0,2023.827542693077,412593.84462681046,0.004905132660240293
"Seattle, WA",141.4178662158429,3893.391703011149,-1.9077576370099346e-06,0.00729684053136081,0.4837747320487428,0.2161498310316506,0.7325969724422821,0.7325969724422821,0.7325969724422821,2801.0,0.0098,2146400.0,2193.73452344798,783020.2117733428,0.0028016320529960855
"Cape Coral, FL",72.93700458160083,2048.496395535749,4.24429925863941e-07,0.007274613459484703,0.26776902661897783,0.45428022636246124,0.7309410470240977,0.7309410470240977,0.7309410470240977,5854.0,0.0089,307800.0,2183.705910664381,412982.1747256646,0.005287651730041305
"Laconia, NH",84.96325985688352,2342.4115816006765,2.2406315605853463e-06,0.007273252017320697,0.30570283312232555,0.6397253510006041,0.7308396190583569,0.7308396190583569,0.7308396190583569,2032.0,0.0218,,,471758.4786703104,
"Vineyard Haven, MA",278.4485700634438,7696.369552783375,1.6417955876969722e-06,0.007269637791320767,0.9160037248471894,0.5785805917915735,0.7305703578289109,0.7305703578289109,0.7305703578289109,2746.0,0.0123,,,1550988.0349159604,
"Salt Lake City, UT",109.25717568980215,2787.2893455674002,-1.0002805066595098e-06,0.007262164346911116,0.38233189855623634,0.3088087111509349,0.7300135833411012,0.7300135833411012,0.7300135833411012,2876.0,0.0063,826800.0,1693.4366801437557,561815.4032773963,0.0030142225903116104
"Hickory, NC",44.04727818783491,1225.4255323348798,1.0063420172835757e-06,0.007256284044616924,0.17664362923878502,0.5136969553526374,0.7295754985546823,0.7295754985546823,0.7295754985546823,4375.0,0.0084,157700.0,1489.4291666666668,246847.1705122285,0.0060338109753333485
"Astoria, OR",99.63984950511217,2627.126459428335,-7.052409299006411e-07,0.0072541938145361485,0.3519964547943348,0.3389340287584296,0.7294197756083625,0.7294197756083625,0.7294197756083625,3016.0,0.0097,,1762.6666666666667,529620.7505196098,0.003328167684021667
"Flagstaff, AZ",117.77396227122478,3197.3277638664986,6.305060777062054e-07,0.0072488666969428685,0.4091959661163189,0.47532184252045995,0.7290229032952867,0.7290229032952867,0.7290229032952867,4086.0,0.0066,70400.0,2391.9809829059827,645769.5630878239,0.0037040782341435253
"Sedalia, MO",29.633752575181887,837.7842279265325,8.552161514653291e-07,0.007248424436574744,0.13117977709977624,0.4982660943254635,0.7289899547274721,0.7289899547274721,0.7289899547274721,4956.0,0.0097,,,169019.06040294524,
"Phoenix, AZ",91.21840022029164,2320.7105227498855,-1.3630435690684104e-07,0.0072460620972356615,0.3254331048291372,0.3970258791747063,0.728813959536573,0.728813959536573,0.728813959536573,4086.0,0.0066,2444200.0,1864.017828788762,468841.499982879,0.003975795292986716
"Othello, WA",55.38067815740409,1455.7027702405119,6.377149395222782e-07,0.007237609424031595,0.2123919974240412,0.4760579107258967,0.7281842321263123,0.7281842321263123,0.7281842321263123,2801.0,0.0098,,,293726.1079712664,
"Athens, GA",63.87730182010229,1746.7502052366137,1.315379265793168e-06,0.00723709921270808,0.2391924661131596,0.5452515195442289,0.7281462211861415,0.7281462211861415,0.7281462211861415,4006.0,0.0092,104600.0,1796.4910521433776,352331.3580702692,0.005098867900895396
